"coral_tag","host_species","expedition","health_status","max_colony_width"
"498","Pocillopora grandis","2015b","alive","26.044"
"498","Pocillopora grandis","2015c","alive","28.012"
"498","Pocillopora grandis","2016a","dead",NA
"501","Montipora aequituberculata","2014","alive","33.099"
"501","Montipora aequituberculata","2015b","alive","29.967"
"501","Montipora aequituberculata","2015c","alive","16.733"
"501","Montipora aequituberculata","2016a","dead",NA
"503","Pocillopora grandis","2014","alive","52.238"
"503","Pocillopora grandis","2016a","dead or gone",NA
"505","Pocillopora grandis","2014","alive","29.396"
"505","Pocillopora grandis","2016a","dead or gone",NA
"506","Montipora aequituberculata","2014","alive","43"
"506","Montipora aequituberculata","2016a","dead or gone",NA
"508","Montipora aequituberculata","2014","alive","35.631"
"508","Montipora aequituberculata","2016a","dead or gone",NA
"509","Pocillopora grandis","2014","alive","32.957"
"509","Pocillopora grandis","2016a","dead or gone",NA
"510","Montipora aequituberculata","2014","alive","65.596"
"510","Montipora aequituberculata","2016a","dead or gone",NA
"512","Montipora aequituberculata","2014","alive","26.089"
"512","Montipora aequituberculata","2016a","dead or gone",NA
"514","Montipora aequituberculata","2014","alive","35.486"
"514","Montipora aequituberculata","2016a","dead or gone",NA
"516","Montipora aequituberculata","2014","alive","55.329"
"516","Montipora aequituberculata","2016a","dead or gone",NA
"517","Montipora aequituberculata","2014","alive","75.278"
"517","Montipora aequituberculata","2016a","dead or gone",NA
"518","Montipora aequituberculata","2014","alive","68.488"
"574","Montipora aequituberculata","2015a","alive","33.495"
"574","Montipora aequituberculata","2015b","alive","22.333"
"574","Montipora aequituberculata","2016a","dead or gone",NA
"576","Montipora aequituberculata","2015a","alive","37.423"
"576","Montipora aequituberculata","2015c","alive","40.209"
"576","Montipora aequituberculata","2016a","dead",NA
"579","Pocillopora grandis","2015a","alive","19.019"
"579","Pocillopora grandis","2015b","alive","19.258"
"579","Pocillopora grandis","2015c","alive","28.15"
"579","Pocillopora grandis","2016a","dead",NA
"582","Pocillopora grandis","2015a","alive","13.375"
"582b","Pocillopora grandis","2015b","alive","36.993"
"582b","Pocillopora grandis","2015c","alive","27.327"
"582b","Pocillopora grandis","2016a","dead",NA
"584","Montipora aequituberculata","2015a","alive","61.314"
"584","Montipora aequituberculata","2015b","alive","63.423"
"584","Montipora aequituberculata","2015c","alive","59.351"
"584","Montipora aequituberculata","2016a","dead",NA
"586","Pocillopora grandis","2015a","alive","38.008"
"586","Pocillopora grandis","2015c","alive","46.735"
"586","Pocillopora grandis","2016a","dead or gone",NA
"589","Pocillopora grandis","2015a","alive","29.545"
"589","Pocillopora grandis","2015b","alive","23.579"
"589","Pocillopora grandis","2015c","alive","29.417"
"589","Pocillopora grandis","2016a","dead",NA
"593","Montipora aequituberculata","2015a","alive","52.038"
"593","Montipora aequituberculata","2015b","alive","56.037"
"593","Montipora aequituberculata","2015c","alive","45.9"
"593","Montipora aequituberculata","2016a","dead",NA
"598","Montipora aequituberculata","2015a","alive","98.301"
"598","Montipora aequituberculata","2015b","alive","76.644"
"598","Montipora aequituberculata","2015c","alive","63.215"
"598","Montipora aequituberculata","2016a","dead",NA
"599","Pocillopora grandis","2015a","alive","16.984"
"599","Pocillopora grandis","2015b","alive","23.075"
"599","Pocillopora grandis","2015c","alive","25.113"
"599","Pocillopora grandis","2016a","dead",NA
"602","Montipora aequituberculata","2015a","alive","51.272"
"602","Montipora aequituberculata","2015c","alive","53.779"
"602","Montipora aequituberculata","2016a","dead",NA
"603","Pocillopora grandis","2015a","alive","8.49"
"603","Pocillopora grandis","2015c","alive","25.306"
"603","Pocillopora grandis","2016a","dead",NA
"606","Pocillopora grandis","2015a","alive","30.199"
"606","Pocillopora grandis","2015c","alive","22.141"
"606","Pocillopora grandis","2016a","dead",NA
"609","Montipora aequituberculata","2015a","alive","74.286"
"609","Montipora aequituberculata","2016a","dead or gone",NA
"611","Pocillopora grandis","2015a","alive","33.157"
"611","Pocillopora grandis","2015c","alive","35.179"
"611","Pocillopora grandis","2016a","dead",NA
"613","Montipora aequituberculata","2015a","alive","37.888"
"613","Montipora aequituberculata","2015c","alive","29.146"
"613","Montipora aequituberculata","2016a","dead",NA
"616","Montipora aequituberculata","2015a","alive","52.376"
"617","Pocillopora grandis","2015a","alive","22.034"
"617","Pocillopora grandis","2015c","alive","34.921"
"617","Pocillopora grandis","2016a","dead",NA
"621","Montipora aequituberculata","2015a","alive","70.348"
"621","Montipora aequituberculata","2015c","alive","60.553"
"621","Montipora aequituberculata","2016a","dead",NA
"622","Pocillopora grandis","2015a","alive","26.975"
"622","Pocillopora grandis","2015c","alive","42.707"
"622","Pocillopora grandis","2016a","dead or gone",NA
"625","Montipora aequituberculata","2015a","alive","90.494"
"625","Montipora aequituberculata","2015c","alive","80.911"
"625","Montipora aequituberculata","2016a","dead",NA
"626","Pocillopora grandis","2015a","alive","21.663"
"626","Pocillopora grandis","2015c","alive","19.88"
"626","Pocillopora grandis","2016a","dead or gone",NA
"629","Montipora aequituberculata","2015a","alive","96.371"
"629","Montipora aequituberculata","2015c","alive","93.798"
"629","Montipora aequituberculata","2016a","dead",NA
"632","Pocillopora grandis","2015a","alive","26.519"
"632","Pocillopora grandis","2016a","dead",NA
"634","Montipora aequituberculata","2015a","alive","34.031"
"634","Montipora aequituberculata","2015b","alive","23.024"
"634","Montipora aequituberculata","2015c","alive","19.858"
"634","Montipora aequituberculata","2016a","dead",NA
"636","Pocillopora grandis","2015a","alive","23.371"
"636","Pocillopora grandis","2015b","alive","27.069"
"649","Montipora aequituberculata","2015b","alive","33.699"
"649","Montipora aequituberculata","2015c","alive","38.777"
"649","Montipora aequituberculata","2016b","dead",NA
"651","Pocillopora grandis","2015b","alive","22.498"
"651","Pocillopora grandis","2015c","alive","24.835"
"651","Pocillopora grandis","2016b","dead",NA
"653","Montipora aequituberculata","2015b","alive","33.19"
"653","Montipora aequituberculata","2015c","alive","25.902"
"653","Montipora aequituberculata","2016b","dead",NA
"654","Pocillopora grandis","2015b","alive","18.034"
"654","Pocillopora grandis","2015c","alive",NA
"654","Pocillopora grandis","2016b","dead or gone",NA
"655","Pocillopora grandis","2015b","alive","22.388"
"655","Pocillopora grandis","2015c","alive","22.093"
"655","Pocillopora grandis","2016b","dead",NA
"657","Montipora aequituberculata","2015b","alive","40.834"
"657","Montipora aequituberculata","2015c","alive","26.799"
"657","Montipora aequituberculata","2016b","dead or gone",NA
"660","Pocillopora grandis","2015b","alive","26.542"
"660","Pocillopora grandis","2015c","alive","23.422"
"660","Pocillopora grandis","2016b","dead",NA
"661","Montipora aequituberculata","2015b","alive",NA
"661","Montipora aequituberculata","2015c","alive","30.49"
"661","Montipora aequituberculata","2016b","dead",NA
"663","Pocillopora grandis","2015b","alive","25.45"
"663","Pocillopora grandis","2015c","alive","31.675"
"663","Pocillopora grandis","2016b","dead",NA
"665","Montipora aequituberculata","2015b","alive","71.815"
"665","Montipora aequituberculata","2015c","alive","64.453"
"665","Montipora aequituberculata","2016b","dead or gone",NA
"667","Pocillopora grandis","2015b","alive","21.589"
"667","Pocillopora grandis","2015c","alive","21.204"
"667","Pocillopora grandis","2016b","dead or gone",NA
"671","Montipora aequituberculata","2015b","alive","26.18"
"671","Montipora aequituberculata","2015c","alive not sampled",NA
"671","Montipora aequituberculata","2016b","dead",NA
"671b","Montipora aequituberculata","2015c","alive","31.762"
"671b","Montipora aequituberculata","2016b","dead",NA
"672","Pocillopora grandis","2015b","alive","27.384"
"672","Pocillopora grandis","2015c","alive","28.458"
"672","Pocillopora grandis","2016b","dead",NA
"673","Montipora aequituberculata","2015b","alive","64.254"
"673","Montipora aequituberculata","2015c","alive","39.576"
"673","Montipora aequituberculata","2016b","dead or gone",NA
"674","Pocillopora grandis","2015b","alive","35.286"
"674","Pocillopora grandis","2015c","alive","39.953"
"674","Pocillopora grandis","2016b","dead or gone",NA
"678","Montipora aequituberculata","2015b","alive","55.887"
"678","Montipora aequituberculata","2015c","alive","45.537"
"678","Montipora aequituberculata","2016b","dead or gone",NA
"679","Pocillopora grandis","2015b","alive","31.493"
"679","Pocillopora grandis","2015c","alive","32.128"
"679","Pocillopora grandis","2016b","dead or gone",NA
"680","Montipora aequituberculata","2015b","alive","75.995"
"680","Montipora aequituberculata","2015c","alive","32.97"
"680","Montipora aequituberculata","2016b","dead or gone",NA
"684","Montipora aequituberculata","2015b","alive","31.118"
"684","Montipora aequituberculata","2015c","alive",NA
"684","Montipora aequituberculata","2016a","dead or gone",NA
"688","Pocillopora grandis","2015b","alive","17.876"
"688","Pocillopora grandis","2015c","alive","22.145"
"688","Pocillopora grandis","2016a","dead or gone",NA
"697","Montipora aequituberculata","2015b","alive","24.55"
"697","Montipora aequituberculata","2015c","alive","26.327"
"697","Montipora aequituberculata","2016a","dead",NA
"698","Montipora aequituberculata","2015b","alive","38.638"
"698","Montipora aequituberculata","2015c","alive","47.719"
"698","Montipora aequituberculata","2016a","dead",NA
"718","Pocillopora grandis","2015b","alive","24.627"
"718","Pocillopora grandis","2015c","alive","18.857"
"718","Pocillopora grandis","2016a","dead",NA
"721","Montipora aequituberculata","2015b","alive","24.525"
"721","Montipora aequituberculata","2015c","alive","21.924"
"721","Montipora aequituberculata","2016a","dead or gone",NA
"730","Montipora aequituberculata","2015b","alive","26.315"
"730","Montipora aequituberculata","2015c","alive","21.289"
"730","Montipora aequituberculata","2016a","dead",NA
"731","Pocillopora grandis","2015b","alive","24.32"
"731","Pocillopora grandis","2015c","alive","30.002"
"731","Pocillopora grandis","2016a","dead or gone",NA
"732","Montipora aequituberculata","2015b","alive","23.576"
"732","Montipora aequituberculata","2015c","alive",NA
"732","Montipora aequituberculata","2016a","dead or gone",NA
"733","Montipora aequituberculata","2015b","alive","26.247"
"733","Montipora aequituberculata","2015c","alive",NA
"733","Montipora aequituberculata","2016a","dead or gone",NA
"737","Montipora aequituberculata","2015b","alive","21.873"
"737","Montipora aequituberculata","2015c","alive","33.054"
"737","Montipora aequituberculata","2016a","dead",NA
"739","Pocillopora grandis","2015b","alive","24.413"
"744","Montipora aequituberculata","2015b","alive","36.391"
"744","Montipora aequituberculata","2015c","alive","26.505"
"744","Montipora aequituberculata","2016a","dead",NA
"747","Pocillopora grandis","2015b","alive","19.328"
"747","Pocillopora grandis","2015c","alive","23.299"
"747","Pocillopora grandis","2016a","dead",NA
"748","Montipora aequituberculata","2015b","alive","33.619"
"748","Montipora aequituberculata","2015c","alive","37.639"
"748","Montipora aequituberculata","2016a","dead",NA
"750","Pocillopora grandis","2015b","alive","22.669"
"750","Pocillopora grandis","2015c","alive","25.8"
"750","Pocillopora grandis","2016a","dead",NA
"751","Montipora aequituberculata","2015b","alive","21.372"
"751","Montipora aequituberculata","2015c","alive","23.632"
"751","Montipora aequituberculata","2016a","dead",NA
"755","Montipora aequituberculata","2015b","alive","26.133"
"755","Montipora aequituberculata","2015c","alive","31.26"
"755","Montipora aequituberculata","2016a","dead",NA
"756","Pocillopora grandis","2015b","alive","22.884"
"756","Pocillopora grandis","2015c","alive","30.116"
"756","Pocillopora grandis","2016a","dead",NA
"757","Pocillopora grandis","2015b","alive","27.204"
"757","Pocillopora grandis","2015c","alive","27.651"
"757","Pocillopora grandis","2016b","dead or gone",NA
"759","Pocillopora grandis","2015b","alive","18.227"
"759","Pocillopora grandis","2015c","alive","29.393"
"759","Pocillopora grandis","2016a","dead",NA
"760","Montipora aequituberculata","2015b","alive","31.027"
"760","Montipora aequituberculata","2015c","alive","37.431"
"760","Montipora aequituberculata","2016a","dead",NA
"761","Montipora aequituberculata","2015b","alive","22.867"
"761","Montipora aequituberculata","2015c","alive",NA
"761","Montipora aequituberculata","2016a","alive","26.847"
"761","Montipora aequituberculata","2016b","dead or gone",NA
"763","Montipora aequituberculata","2015b","alive","19.262"
"763","Montipora aequituberculata","2015c","alive","30.538"
"763","Montipora aequituberculata","2016a","dead",NA
"765","Pocillopora grandis","2015b","alive","24.645"
"765","Pocillopora grandis","2015c","alive","29.64"
"765","Pocillopora grandis","2016a","dead",NA
"775","Montipora aequituberculata","2015b","alive","50.622"
"778","Pocillopora grandis","2015b","alive","24.269"
"778","Pocillopora grandis","2015c","alive","26.781"
"778","Pocillopora grandis","2016a","dead",NA
"780","Montipora aequituberculata","2015b","alive","55.585"
"780","Montipora aequituberculata","2015c","alive","52.007"
"780","Montipora aequituberculata","2016a","dead or gone",NA
"784","Montipora aequituberculata","2015b","alive","18.163"
"784","Montipora aequituberculata","2015c","alive","38.522"
"784","Montipora aequituberculata","2016a","alive","22.457"
"784","Montipora aequituberculata","2016b","dead",NA
"785","Pocillopora grandis","2015b","alive","32.042"
"785","Pocillopora grandis","2015c","alive","34.236"
"785","Pocillopora grandis","2016a","dead",NA
"789","Montipora aequituberculata","2015b","alive",NA
"789","Montipora aequituberculata","2015c","alive","67.177"
"791","Pocillopora grandis","2015b","alive","35.433"
"791","Pocillopora grandis","2015c","alive","59.762"
"791","Pocillopora grandis","2016a","dead",NA
"795","Montipora aequituberculata","2015b","alive","32.121"
"795","Montipora aequituberculata","2015c","alive","38.151"
"795","Montipora aequituberculata","2016a","dead",NA
"796","Pocillopora grandis","2015b","alive","24.9"
"796","Pocillopora grandis","2015c","alive","32.302"
"796","Pocillopora grandis","2016a","dead",NA
"799","Pocillopora grandis","2015b","alive","33.978"
"799","Pocillopora grandis","2015c","alive","31.428"
"799","Pocillopora grandis","2016a","dead",NA
"802","Montipora aequituberculata","2015b","alive","52.01"
"802","Montipora aequituberculata","2015c","alive","54.594"
"802","Montipora aequituberculata","2016a","dead or gone",NA
"803","Pocillopora grandis","2015b","alive","32.158"
"803","Pocillopora grandis","2015c","alive","49.464"
"803","Pocillopora grandis","2016a","dead",NA
"808","Montipora aequituberculata","2015b","alive","31.457"
"808","Montipora aequituberculata","2016a","dead or gone",NA
"809","Pocillopora grandis","2015b","alive","41.746"
"809","Pocillopora grandis","2015c","alive","44.06"
"809","Pocillopora grandis","2016a","dead or gone",NA
"811","Montipora aequituberculata","2015b","alive","63.762"
"811","Montipora aequituberculata","2015c","alive","71.574"
"811","Montipora aequituberculata","2016a","dead",NA
"814","Pocillopora grandis","2015b","alive","36.195"
"814","Pocillopora grandis","2015c","alive","35.153"
"814","Pocillopora grandis","2016a","dead",NA
"815","Montipora aequituberculata","2015b","alive","40.356"
"815","Montipora aequituberculata","2015c","alive","63.245"
"815","Montipora aequituberculata","2016a","dead",NA
"819","Pocillopora grandis","2015b","alive","30.74"
"819","Pocillopora grandis","2015c","alive","39.114"
"819","Pocillopora grandis","2016a","dead",NA
"822","Montipora aequituberculata","2015b","alive","56.511"
"822","Montipora aequituberculata","2015c","alive","73.268"
"822","Montipora aequituberculata","2016a","dead",NA
"823","Pocillopora grandis","2015b","alive","24.658"
"823","Pocillopora grandis","2015c","alive","24.881"
"823","Pocillopora grandis","2016a","dead or gone",NA
"825","Pocillopora grandis","2015b","alive","30.868"
"825","Pocillopora grandis","2015c","alive","34.673"
"825","Pocillopora grandis","2016a","dead",NA
"828","Montipora aequituberculata","2015b","alive","32.331"
"828","Montipora aequituberculata","2016a","dead",NA
"828b","Montipora aequituberculata","2015c","alive","67.334"
"828b","Montipora aequituberculata","2016a","dead",NA
"830","Pocillopora grandis","2015b","alive","38.476"
"830","Pocillopora grandis","2015c","alive","43.298"
"832","Montipora aequituberculata","2015b","alive","42.169"
"832","Montipora aequituberculata","2015c","alive","50.988"
"832","Montipora aequituberculata","2016a","dead",NA
"833","Pocillopora grandis","2015b","alive","30.632"
"833","Pocillopora grandis","2015c","alive","29.883"
"833","Pocillopora grandis","2016a","dead",NA
"835","Montipora aequituberculata","2015b","alive","68.566"
"835","Montipora aequituberculata","2015c","alive","66.271"
"835","Montipora aequituberculata","2016a","dead",NA
"836","Pocillopora grandis","2015b","alive","33.204"
"836","Pocillopora grandis","2015c","alive","51.762"
"836","Pocillopora grandis","2016a","dead",NA
"838","Montipora aequituberculata","2015b","alive","101.528"
"838","Montipora aequituberculata","2015c","alive","71.452"
"838","Montipora aequituberculata","2016a","dead",NA
"840","Montipora aequituberculata","2015b","alive","56.824"
"840","Montipora aequituberculata","2015c","alive","73.885"
"840","Montipora aequituberculata","2016a","dead",NA
"841","Montipora aequituberculata","2015b","alive","42.938"
"843","Pocillopora grandis","2015b","alive","38.762"
"843","Pocillopora grandis","2015c","alive","55.826"
"843","Pocillopora grandis","2016a","dead",NA
"848","Pocillopora grandis","2015b","alive","25.376"
"848","Pocillopora grandis","2015c","alive","27.405"
"848","Pocillopora grandis","2016a","dead",NA
"849","Montipora aequituberculata","2015b","alive",NA
"849","Montipora aequituberculata","2015c","alive","51.223"
"849","Montipora aequituberculata","2016a","dead",NA
"852","Pocillopora grandis","2015b","alive","27.084"
"852","Pocillopora grandis","2015c","alive","34.805"
"852","Pocillopora grandis","2016a","dead",NA
"852","Pocillopora grandis","2016b","dead",NA
"855","Montipora aequituberculata","2015b","alive","39.082"
"855","Montipora aequituberculata","2015c","alive","55.575"
"855","Montipora aequituberculata","2016a","dead or gone",NA
"858","Pocillopora grandis","2015b","alive","24.818"
"858","Pocillopora grandis","2016a","dead or gone",NA
"861","Pocillopora grandis","2015c","alive","21.773"
"861","Pocillopora grandis","2016b","dead or gone",NA
"866","Pocillopora grandis","2015c","alive","22.968"
"866","Pocillopora grandis","2016b","dead or gone",NA
"868","Pocillopora grandis","2015c","alive","21.061"
"868","Pocillopora grandis","2016b","dead or gone",NA
"881","Pocillopora grandis","2015c","alive","30.855"
"881","Pocillopora grandis","2016a","dead",NA
"882","Pocillopora grandis","2015c","alive","30.15"
"882","Pocillopora grandis","2016a","dead",NA
"885","Pocillopora grandis","2015c","alive","33.87"
"885","Pocillopora grandis","2016a","dead or gone",NA
"887","Pocillopora grandis","2015c","alive","26.627"
"887","Pocillopora grandis","2016a","dead",NA
"889","Pocillopora grandis","2015c","alive","23.537"
"889","Pocillopora grandis","2016a","dead",NA
"890","Pocillopora grandis","2015c","alive","25.093"
"890","Pocillopora grandis","2016a","dead or gone",NA
"898","Montipora aequituberculata","2016a","alive","15.064"
"898","Montipora aequituberculata","2016b","dead or gone",NA
"912","Montipora aequituberculata","2016a","alive","31.929"
"912","Montipora aequituberculata","2017","dead or gone",NA
"944","Montipora aequituberculata","2016a","alive","25.179"
"944","Montipora aequituberculata","2016b","dead",NA
"945","Montipora aequituberculata","2016a","alive","45.665"
"945","Montipora aequituberculata","2016b","dead",NA
"948","Montipora aequituberculata","2016a","alive","20.993"
"950","Montipora aequituberculata","2016a","alive","48.791"
"950","Montipora aequituberculata","2016b","dead",NA
"997","Pocillopora grandis","2016a","alive","29.985"
"997","Pocillopora grandis","2016b","alive","14.776"
"997","Pocillopora grandis","2017","alive","19.216"
"997","Pocillopora grandis","2018","alive","25.755"
"997","Pocillopora grandis","2019","alive","26.289"
"997","Pocillopora grandis","2023b","dead or gone",NA
"1185","Pocillopora grandis","2017","alive","20.052"
"1185","Pocillopora grandis","2019","dead or gone",NA
"1188","Pocillopora grandis","2017","alive",NA
"1188","Pocillopora grandis","2018","dead or gone",NA
"1225","Pocillopora grandis","2019","alive","31.101"
"1235","Pocillopora grandis","2017","alive","18.883"
"1235","Pocillopora grandis","2018","alive","24.908"
"1291","Pocillopora grandis","2018","alive","13.462"
"1307","Pocillopora grandis","2018","alive","17.044"
"1307","Pocillopora grandis","2019","alive","18.519"
"1318","Pocillopora grandis","2018","alive","31.744"
"1318","Pocillopora grandis","2019","alive","26.647"
"1318","Pocillopora grandis","2023b","dead or gone",NA
"1347","Pocillopora grandis","2019","alive","27.515"
"1357","Pocillopora grandis","2023b","alive",NA
"1362","Pocillopora grandis","2019","alive","26.372"
"1363","Pocillopora grandis","2019","alive","29.444"
"1367","Pocillopora grandis","2019","alive","23.906"
"1368","Pocillopora grandis","2019","alive","23.239"
"1386","Montipora aequituberculata","2019","alive",NA
"1388","Pocillopora grandis","2019","alive","32.691"
"1389","Pocillopora grandis","2019","alive","34.631"
"1392","Pocillopora grandis","2023b","alive","24.027"
"1396","Pocillopora grandis","2023b","alive","34.671"
"1404","Pocillopora grandis","2023b","alive","29.91"
"1413","Pocillopora grandis","2023b","alive","28.816"
"1417","Pocillopora grandis","2023b","alive","33.894"
"1429","Pocillopora grandis","2019","alive",NA
"1442","Pocillopora grandis","2023b","alive","28.951"
"1448","Pocillopora grandis","2023b","alive","24.476"
"1464","Pocillopora grandis","2023b","alive","23.573"
"1468","Pocillopora grandis","2023b","alive","27.409"
"1473","Pocillopora grandis","2023b","alive","22.558"
"1480","Pocillopora grandis","2023b","alive","31.033"
"1485","Pocillopora grandis","2023b","alive","19.638"
"1487","Pocillopora grandis","2023b","alive","27.951"
"1500","Pocillopora grandis","2023b","alive","29.594"
"1515","Pocillopora grandis","2023b","alive","28.72"
"1517","Pocillopora grandis","2023b","alive","46.747"
"1525","Pocillopora grandis","2023b","alive","24.394"
"1549","Pocillopora grandis","2023b","alive","24.772"
"1556","Pocillopora grandis","2023b","alive","57.827"
"1557","Pocillopora grandis","2023b","alive","28.432"
"1559","Pocillopora grandis","2023b","alive","63.378"
"1560","Pocillopora grandis","2023b","alive","29.888"
"1562","Pocillopora grandis","2023b","alive","22.056"
"1569","Pocillopora grandis","2023b","alive","17.535"
"1570","Pocillopora grandis","2023b","alive","24.34"
"1571","Pocillopora grandis","2023b","alive","22.564"
"1572","Pocillopora grandis","2023b","alive","45.995"
"1575","Pocillopora grandis","2023b","alive","22.985"
"1578","Pocillopora grandis","2023b","alive","26.341"
"1583","Pocillopora grandis","2023b","alive","27.154"
"1593","Pocillopora grandis","2023b","alive","21.017"
"1594","Pocillopora grandis","2023b","alive","23.065"
"1597","Pocillopora grandis","2023b","alive","20.684"
"1599","Pocillopora grandis","2023b","alive","23.28"
"1609","Pocillopora grandis","2023b","alive","63.757"
"1613","Pocillopora grandis","2023b","alive","30.087"
"1618","Pocillopora grandis","2023b","alive","24.749"
"1640","Pocillopora grandis","2023b","alive","25.464"
"1647","Pocillopora grandis","2023b","alive","23.2"
"1649","Pocillopora grandis","2023b","alive","19.504"
"1661","Pocillopora grandis","2023b","alive","45.228"
"1674","Pocillopora grandis","2023b","alive","28.076"
"1677","Pocillopora grandis","2023b","alive","24.385"
"1681","Pocillopora grandis","2023b","alive","28.513"
"1691","Pocillopora grandis","2023b","alive","24.661"
"1695","Pocillopora grandis","2023b","alive","29.454"
"1718","Pocillopora grandis","2023b","alive","23.162"
"1720","Pocillopora grandis","2023b","alive","41.463"
"1724","Pocillopora grandis","2023b","alive","27.155"
"1735","Pocillopora grandis","2023b","alive","26.736"
"1751","Pocillopora grandis","2023b","alive","25.371"
"1757","Pocillopora grandis","2023b","alive","24.189"
"1769","Pocillopora grandis","2023b","alive","16.669"
"1789","Pocillopora grandis","2023b","alive","26.267"
"1792","Pocillopora grandis","2023b","alive","19.105"
"1798","Pocillopora grandis","2023b","alive","20.881"
"1802","Pocillopora grandis","2023b","alive","22.424"
"1810","Pocillopora grandis","2023b","alive","20.696"
"1812","Pocillopora grandis","2023b","alive","32.554"
"1814","Pocillopora grandis","2023b","alive","21.377"
"1819","Pocillopora grandis","2023b","alive","17.756"
"1825","Pocillopora grandis","2023b","alive","21.551"
"1831","Pocillopora grandis","2023b","alive","26.099"
"1837","Pocillopora grandis","2023b","alive","22.555"
"1841","Pocillopora grandis","2023b","alive","28.457"
"1848","Pocillopora grandis","2023b","alive","23.306"
"1851","Pocillopora grandis","2023b","alive","45.272"
"1863","Pocillopora grandis","2023b","alive","32.249"
"1873","Pocillopora grandis","2023b","alive","20.125"
"1875","Pocillopora grandis","2023b","alive","22.982"
"1882","Pocillopora grandis","2023b","alive","23.608"
"1891","Pocillopora grandis","2023b","alive","23.457"
"1892","Pocillopora grandis","2023b","alive","39.858"
"1894","Pocillopora grandis","2023b","alive","19.963"
"1907","Pocillopora grandis","2023b","alive","27.332"
"1946","Pocillopora grandis","2023b","alive","23.361"
"1959","Pocillopora grandis","2023b","alive","33.245"
"1960","Pocillopora grandis","2023b","alive","25.848"
"1989","Pocillopora grandis","2023b","alive","23.604"
"2006","Pocillopora grandis","2023b","alive","22.805"
"2020","Pocillopora grandis","2023b","alive","26.542"
"2023","Pocillopora grandis","2023b","alive","24.157"
"2030","Pocillopora grandis","2023b","alive",NA
"2033","Pocillopora grandis","2023b","alive","24.514"
"2037","Pocillopora grandis","2023b","alive","31.141"
"2040","Pocillopora grandis","2023b","alive","29.711"
"2049","Pocillopora grandis","2023b","alive","23.549"
"2067","Pocillopora grandis","2023b","alive","25.454"
"2070","Pocillopora grandis","2023b","alive",NA
"2075","Pocillopora grandis","2023b","alive","32.125"
"2079","Pocillopora grandis","2023b","alive","31.74"
"2094","Pocillopora grandis","2023b","alive","16.036"
"2098","Pocillopora grandis","2023b","alive","29.989"
"2099","Pocillopora grandis","2023b","alive","29.312"
"2112","Pocillopora grandis","2023b","alive","24.862"
"2118","Pocillopora grandis","2023b","alive","30.459"
"2152","Pocillopora grandis","2023b","alive","22.569"
"2155","Pocillopora grandis","2023b","alive","28.209"
"2162","Pocillopora grandis","2023b","alive","43.864"
"2163","Pocillopora grandis","2023b","alive","28.793"
"2172","Pocillopora grandis","2023b","alive","35.311"
"2177","Pocillopora grandis","2023b","alive","30.918"
"2195","Pocillopora grandis","2023b","alive","27.978"
"2196","Montipora aequituberculata","2023b","alive","22.775"
"2198","Pocillopora grandis","2023b","alive","23.511"
"2199","Montipora aequituberculata","2023b","alive","25.376"
"2204","Pocillopora grandis","2023b","alive","20.892"
"2207","Pocillopora grandis","2023b","alive","34.192"
