"coral_tag","host_species","expedition","health_status","max_colony_width"
"76","Montipora aequituberculata","2015c","alive","20.427"
"76","Montipora aequituberculata","2016a","dead",NA
"78","Pocillopora grandis","2014","alive","24.603"
"82","Pocillopora grandis","2014","alive","26.08"
"83","Montipora aequituberculata","2014","alive","56.045"
"84","Pocillopora grandis","2014","alive","19.043"
"84","Pocillopora grandis","2015a","alive","30.081"
"84","Pocillopora grandis","2015b","alive","27.298"
"84","Pocillopora grandis","2015c","alive","20.296"
"84","Pocillopora grandis","2016a","dead",NA
"85","Montipora aequituberculata","2014","alive","48.369"
"85","Montipora aequituberculata","2015b","alive","43.037"
"85","Montipora aequituberculata","2015c","alive","37.363"
"85","Montipora aequituberculata","2016a","dead or gone",NA
"85","Montipora aequituberculata","2017","dead",NA
"86","Pocillopora grandis","2014","alive","25.881"
"86","Pocillopora grandis","2015b","alive","27.844"
"86","Pocillopora grandis","2015c","alive","42.672"
"86","Pocillopora grandis","2016a","dead or gone",NA
"88","Pocillopora grandis","2014","alive","17.242"
"88","Pocillopora grandis","2015a","alive","33.144"
"88","Pocillopora grandis","2015b","alive","29.8"
"88","Pocillopora grandis","2015c","alive","18.769"
"88","Pocillopora grandis","2016a","dead",NA
"94","Montipora aequituberculata","2014","alive","63.994"
"94b","Montipora aequituberculata","2015a","alive","54.773"
"94b","Montipora aequituberculata","2015c","alive","62.089"
"94b","Montipora aequituberculata","2016a","dead",NA
"98","Montipora aequituberculata","2014","alive","77.938"
"98","Montipora aequituberculata","2015a","alive","50.459"
"98","Montipora aequituberculata","2015b","alive","39.401"
"98","Montipora aequituberculata","2015c","alive","32.691"
"98","Montipora aequituberculata","2016a","dead",NA
"102","Montipora aequituberculata","2014","alive","56.141"
"102","Montipora aequituberculata","2015a","alive","43.859"
"102","Montipora aequituberculata","2015b","alive","30.983"
"102","Montipora aequituberculata","2015c","alive","39.79"
"102","Montipora aequituberculata","2016a","dead",NA
"105","Montipora aequituberculata","2014","alive","57.923"
"105","Montipora aequituberculata","2015a","alive","57.009"
"105","Montipora aequituberculata","2015b","alive","56.748"
"105","Montipora aequituberculata","2015c","alive","67.422"
"105","Montipora aequituberculata","2016a","dead",NA
"106","Pocillopora grandis","2014","alive","NA"
"106","Pocillopora grandis","2015a","alive","23.912"
"106","Pocillopora grandis","2015b","alive","41.399"
"106","Pocillopora grandis","2016a","dead",NA
"106b","Pocillopora grandis","2015c","alive","28.479"
"106b","Pocillopora grandis","2016a","dead",NA
"109","Pocillopora grandis","2014","alive","37.712"
"109","Pocillopora grandis","2015a","alive","30.117"
"109","Pocillopora grandis","2015b","alive","29.172"
"109","Pocillopora grandis","2015c","alive","39.72"
"109","Pocillopora grandis","2016a","dead",NA
"110","Montipora aequituberculata","2014","alive","58.5"
"110","Montipora aequituberculata","2015b","alive","20.918"
"110","Montipora aequituberculata","2016a","dead",NA
"110b","Montipora aequituberculata","2015c","alive","31.753"
"110b","Montipora aequituberculata","2016a","dead",NA
"116","Pocillopora grandis","2014","alive","19.824"
"116","Pocillopora grandis","2015b","alive","13.106"
"116","Pocillopora grandis","2015c","alive","21.99"
"116","Pocillopora grandis","2016a","dead",NA
"117","Montipora aequituberculata","2014","alive","38.312"
"120","Pocillopora grandis","2014","alive","13.244"
"120","Pocillopora grandis","2015b","alive","31.389"
"120","Pocillopora grandis","2015c","alive","34.336"
"120","Pocillopora grandis","2016a","dead",NA
"123","Pocillopora grandis","2014","alive","28.95"
"123","Pocillopora grandis","2015b","alive","23.579"
"123","Pocillopora grandis","2015c","alive","27.935"
"123","Pocillopora grandis","2016a","dead or gone",NA
"125","Pocillopora grandis","2014","alive","34.4"
"129","Pocillopora grandis","2014","alive","22.449"
"129","Pocillopora grandis","2015a","alive","28.828"
"129","Pocillopora grandis","2015b","alive","42.267"
"129","Pocillopora grandis","2015c","alive","23.061"
"129","Pocillopora grandis","2016a","dead or gone",NA
"132","Pocillopora grandis","2014","alive","34.012"
"132","Pocillopora grandis","2015a","alive","42.592"
"132b","Pocillopora grandis","2015b","alive","36.945"
"132b","Pocillopora grandis","2015c","alive","51.191"
"132b","Pocillopora grandis","2016a","dead",NA
"133","Montipora aequituberculata","2014","alive","33.525"
"133","Montipora aequituberculata","2015a","alive","35.953"
"133","Montipora aequituberculata","2015b","alive","43.374"
"133","Montipora aequituberculata","2015c","alive","38.548"
"133","Montipora aequituberculata","2016a","dead or gone",NA
"134","Montipora aequituberculata","2014","alive","40.912"
"134","Montipora aequituberculata","2015a","alive","35.181"
"134","Montipora aequituberculata","2015b","alive","36.201"
"134","Montipora aequituberculata","2015c","alive","39.891"
"134","Montipora aequituberculata","2016a","dead or gone",NA
"135","Pocillopora grandis","2014","alive","25.491"
"135","Pocillopora grandis","2015a","alive","28.267"
"135","Pocillopora grandis","2015b","alive","32.194"
"135","Pocillopora grandis","2015c","alive","31.702"
"135","Pocillopora grandis","2016a","dead or gone",NA
"137","Montipora aequituberculata","2014","alive","37.285"
"137","Montipora aequituberculata","2015a","alive","46.521"
"137","Montipora aequituberculata","2015b","alive","29.61"
"137","Montipora aequituberculata","2015c","alive","46.397"
"137","Montipora aequituberculata","2016a","dead or gone",NA
"139","Pocillopora grandis","2014","alive","23.155"
"139","Pocillopora grandis","2015b","alive","22.829"
"142","Pocillopora grandis","2014","alive","15.916"
"142","Pocillopora grandis","2015a","alive","24.31"
"143","Montipora aequituberculata","2014","alive","36.764"
"143","Montipora aequituberculata","2015a","alive","32.81"
"143","Montipora aequituberculata","2016a","dead",NA
"145","Pocillopora grandis","2014","alive","24.435"
"145","Pocillopora grandis","2015b","alive","24.617"
"145","Pocillopora grandis","2015c","alive","31.864"
"145","Pocillopora grandis","2016a","dead or gone",NA
"147","Montipora aequituberculata","2014","alive","48.029"
"147","Montipora aequituberculata","2015a","alive","49.306"
"147b","Montipora aequituberculata","2015b","alive","24.733"
"149","Pocillopora grandis","2014","alive","22.456"
"149","Pocillopora grandis","2015a","alive","34.117"
"149","Pocillopora grandis","2015b","alive","26.419"
"149","Pocillopora grandis","2015c","alive","34.614"
"149","Pocillopora grandis","2016a","dead",NA
"152","Pocillopora grandis","2014","alive","13.807"
"152","Pocillopora grandis","2015b","alive","30.14"
"152","Pocillopora grandis","2015c","alive","28.63"
"152","Pocillopora grandis","2016a","dead",NA
"155","Montipora aequituberculata","2014","alive","33.663"
"155b","Montipora aequituberculata","2015c","alive","29.881"
"155b","Montipora aequituberculata","2017","dead",NA
"159","Pocillopora grandis","2014","alive","33.001"
"159","Pocillopora grandis","2015c","alive","27.975"
"159","Pocillopora grandis","2017","dead","3.368"
"160","Montipora aequituberculata","2014","alive","90.384"
"162","Montipora aequituberculata","2014","alive","78.84"
"162","Montipora aequituberculata","2017","dead or gone",NA
"163","Pocillopora grandis","2014","alive","32.556"
"163","Pocillopora grandis","2015c","alive","44.67"
"163","Pocillopora grandis","2017","dead","NA"
"165","Montipora aequituberculata","2014","alive","81.778"
"166","Pocillopora grandis","2014","alive","35.233"
"166","Pocillopora grandis","2015c","alive","40.671"
"166","Pocillopora grandis","2017","dead or gone",NA
"170","Montipora aequituberculata","2014","alive","69.843"
"170","Montipora aequituberculata","2015c","alive","54.488"
"170","Montipora aequituberculata","2017","dead",NA
"171","Pocillopora grandis","2014","alive","20.589"
"171","Pocillopora grandis","2015c","alive","22.563"
"171","Pocillopora grandis","2017","dead","NA"
"174","Pocillopora grandis","2014","alive","22.131"
"174","Pocillopora grandis","2017","dead","NA"
"174b","Pocillopora grandis","2015c","alive","31.898"
"174b","Pocillopora grandis","2017","dead",NA
"175","Montipora aequituberculata","2014","alive","50.445"
"175","Montipora aequituberculata","2017","dead",NA
"178","Montipora aequituberculata","2014","alive","44.425"
"179","Pocillopora grandis","2014","alive","24.927"
"179","Pocillopora grandis","2015c","alive","23.361"
"179","Pocillopora grandis","2017","dead","NA"
