"library_ID","Clade","Profile","Count","Count_sum","Count_freq","fastq_fwd_file_name","fastq_rev_file_name","host_genus","host_species","coral_tag","site_name","sequencing_run","expedition","sample_name","sra_accession","pub.name","lat","lon","level","continous.pressure.2km","expedition_class"
"173-KI23b_S250_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",12101,13037,0.928204341489607,"173-KI23b_S250_L001_R1_001.fastq.gz","173-KI23b_S250_L001_R2_001.fastq.gz","Pocillopora","grandis","1396",40,"run10_shedd2024","2023b","KI23b_173","SAMN49904342","H1",1.96364,-157.48775,4,2425.276063,"4_longafter"
"173-KI23b_S250_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",936,13037,0.0717956585103935,"173-KI23b_S250_L001_R1_001.fastq.gz","173-KI23b_S250_L001_R2_001.fastq.gz","Pocillopora","grandis","1396",40,"run10_shedd2024","2023b","KI23b_173","SAMN49904342","H1",1.96364,-157.48775,4,2425.276063,"4_longafter"
"631-KI23b-2_S366_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",22106,24063,0.918671819806342,"631-KI23b-2_S366_L001_R1_001.fastq.gz","631-KI23b-2_S366_L001_R2_001.fastq.gz","Pocillopora","grandis","2067",30,"run10_shedd2024","2023b","KI23b_631","SAMN49904295","VH3",2.02572,-157.498,5,5085.684783,"4_longafter"
"631-KI23b-2_S366_L001","D","D1-D1as-D6-D1at-D4-D1ax",1957,24063,0.0813281801936583,"631-KI23b-2_S366_L001_R1_001.fastq.gz","631-KI23b-2_S366_L001_R2_001.fastq.gz","Pocillopora","grandis","2067",30,"run10_shedd2024","2023b","KI23b_631","SAMN49904295","VH3",2.02572,-157.498,5,5085.684783,"4_longafter"
"636-KI23b_S337_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",5728,6334,0.904325860435744,"636-KI23b_S337_L001_R1_001.fastq.gz","636-KI23b_S337_L001_R2_001.fastq.gz","Pocillopora","grandis","2182",27,"run10_shedd2024","2023b","KI23b_636","SAMN49904285","VH1",2.00973,-157.48941,5,7276,"4_longafter"
"636-KI23b_S337_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",606,6334,0.0956741395642564,"636-KI23b_S337_L001_R1_001.fastq.gz","636-KI23b_S337_L001_R2_001.fastq.gz","Pocillopora","grandis","2182",27,"run10_shedd2024","2023b","KI23b_636","SAMN49904285","VH1",2.00973,-157.48941,5,7276,"4_longafter"
"PLATE4H7_S344_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",7050,7050,1,"PLATE4H7_S344_L001_R1_001.fastq.gz","PLATE4H7_S344_L001_R2_001.fastq.gz","Pocillopora","grandis","86",8,"SheddRun_Dec2020","2015c","KI15c_382","SAMN49904111","M1",1.886,-157.552,3,1212.82819,"2_during"
"243-2019_S327_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",13818,15283,0.904141856965256,"243-2019_S327_L001_R1_001.fastq.gz","243-2019_S327_L001_R2_001.fastq.gz","Pocillopora","grandis","764",32,"Starko_Shedd","2019","KI19_243","SAMN49904159","VH2",1.984,-157.482,5,4860.745702,"3_after"
"243-2019_S327_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",1465,15283,0.0958581430347445,"243-2019_S327_L001_R1_001.fastq.gz","243-2019_S327_L001_R2_001.fastq.gz","Pocillopora","grandis","764",32,"Starko_Shedd","2019","KI19_243","SAMN49904159","VH2",1.984,-157.482,5,4860.745702,"3_after"
"326_S325_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",18296,18296,1,"326_S325_L001_R1_001.fastq.gz","326_S325_L001_R2_001.fastq.gz","Pocillopora","grandis","84",8,"run2","2015b","KI15b_173","SAMN49903730","M1",1.886,-157.552,3,1212.82819,"1_before"
"144-KI13_S135_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",6301,6953,0.906227527685891,"144-KI13_S135_L001_R1_001.fastq.gz","144-KI13_S135_L001_R2_001.fastq.gz","Pocillopora","grandis","2013-144",27,"run10_shedd2024","2013","KI13_144","SAMN49904211","VH1",2.00973,-157.48941,5,7276,"1_before"
"144-KI13_S135_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",652,6953,0.093772472314109,"144-KI13_S135_L001_R1_001.fastq.gz","144-KI13_S135_L001_R2_001.fastq.gz","Pocillopora","grandis","2013-144",27,"run10_shedd2024","2013","KI13_144","SAMN49904211","VH1",2.00973,-157.48941,5,7276,"1_before"
