Label,coralnet.tag,Bleached,Substrate,Life.H,Species
DICTY,DICTY,Healthy,FLESH.MACRO,Not.Coral,Not.Coral
EUR,EUR,Healthy,OTHER.INVERTEBRATES,Not.Coral,Not.Coral
Oxyp,Oxyp,Healthy,HARD.CORAL,Not.Classified,Oxypora.spp
B_Favia,B_Favia,Bleaching,HARD.CORAL,Stress-tolerant,Favia.spp
Dict,Dict,Healthy,FLESH.MACRO,Not.Coral,Not.Coral
Hydra,Hydra,Healthy,OTHER.INVERTEBRATES,Not.Coral,Not.Coral
Plero,Plero,Healthy,HARD.CORAL,Stress-tolerant,Plerogyra.sinuosa
BGard,BGard,Bleaching,HARD.CORAL,Stress-tolerant,Gardineroseris.spp
B_Sando,B_Sando,Bleaching,HARD.CORAL,Stress-tolerant,Sandolitha.spp
ECHIN,ECHIN,Healthy,HARD.CORAL,Stress-tolerant,Echinophyllia.spp
B_Pocillo,B_Pocillo,Bleaching,HARD.CORAL,Competitive,Pocillopora.spp
